"DRS_id","DRS","Município","Janeiro Notificados","Janeiro Confirmados","Fevereiro Notificados","Fevereiro Confirmados","Março Notificados","Março Confirmados","Abril Notificados","Abril Confirmados","Maio Notificados","Maio Confirmados","Junho Notificados","Junho Confirmados","Julho Notificados","Julho Confirmados","Agosto Notificados","Agosto Confirmados","Setembro Notificados","Setembro Confirmados","Outubro Notificados","Outubro Confirmados","Novembro Notificados","Novembro Confirmados","Dezembro Notificados","Dezembro Confirmados","Total Notificados","Total Confirmados"
"6","Bauru","350750 Botucatu","57.00","4.00","94.00","9.00","276.00","19.00","301.00","49.00","250.00","33.00","86.00","14.00","34.00","9.00","47.00","13.00","61.00","15.00","119.00","25.00","109.00","48.00","247.00","130.00","1,681.00","368.00"
"7","Campinas","350760 Bragança Paulista","31.00","2.00","36.00","5.00","76.00","24.00","90.00","40.00","66.00","37.00","25.00","6.00","21.00","8.00","25.00","5.00","15.00","4.00","38.00","9.00","21.00","3.00","53.00","25.00","497.00","168.00"
"2","Araçatuba","350770 Braúna","1.00","1.00","5.00","2.00","38.00","31.00","112.00","102.00","26.00","24.00","4.00","4.00","2.00","1.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","191.00","165.00"
"2","Araçatuba","350775 Brejo Alegre","2.00","1.00","9.00","7.00","21.00","14.00","15.00","5.00","7.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","57.00","28.00"
"13","Riberão Preto","350780 Brodósqui","15.00","1.00","24.00","4.00","48.00","8.00","104.00","36.00","119.00","50.00","32.00","18.00","12.00","5.00","19.00","13.00","27.00","11.00","35.00","20.00","180.00","143.00","482.00","464.00","1,097.00","773.00"
"6","Bauru","350790 Brotas","8.00","0.00","5.00","0.00","34.00","4.00","49.00","12.00","67.00","12.00","24.00","2.00","9.00","0.00","6.00","0.00","13.00","0.00","2.00","0.00","1.00","0.00","5.00","0.00","223.00","30.00"
"16","Sorocaba","350800 Buri","10.00","3.00","58.00","9.00","50.00","6.00","40.00","3.00","33.00","3.00","8.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","199.00","25.00"
"2","Araçatuba","350810 Buritama","13.00","0.00","25.00","3.00","35.00","2.00","26.00","2.00","23.00","1.00","7.00","1.00","2.00","1.00","8.00","0.00","8.00","0.00","6.00","0.00","6.00","0.00","4.00","1.00","163.00","11.00"
"8","Franca","350820 Buritizal","5.00","0.00","18.00","11.00","59.00","38.00","46.00","32.00","43.00","29.00","7.00","6.00","0.00","0.00","2.00","1.00","2.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","184.00","117.00"
"6","Bauru","350830 Cabrália Paulista","1.00","0.00","1.00","0.00","8.00","2.00","17.00","4.00","15.00","2.00","3.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","2.00","0.00","51.00","8.00"
"7","Campinas","350840 Cabreúva","14.00","1.00","31.00","1.00","57.00","11.00","71.00","49.00","70.00","43.00","30.00","16.00","9.00","2.00","5.00","0.00","20.00","8.00","11.00","3.00","6.00","1.00","12.00","6.00","336.00","141.00"
"17","Taubaté","350850 Caçapava","27.00","1.00","37.00","2.00","150.00","41.00","279.00","81.00","229.00","90.00","117.00","38.00","52.00","2.00","86.00","4.00","88.00","0.00","109.00","1.00","56.00","0.00","73.00","4.00","1,303.00","264.00"
"17","Taubaté","350860 Cachoeira Paulista","24.00","1.00","15.00","1.00","41.00","2.00","65.00","8.00","75.00","3.00","18.00","0.00","23.00","0.00","14.00","1.00","19.00","2.00","28.00","3.00","7.00","1.00","5.00","1.00","334.00","23.00"
"14","São João da Boa Vista","350870 Caconde","0.00","0.00","2.00","0.00","6.00","0.00","18.00","5.00","25.00","6.00","9.00","3.00","2.00","0.00","0.00","0.00","1.00","0.00","7.00","1.00","3.00","0.00","2.00","1.00","75.00","16.00"
"6","Bauru","350880 Cafelândia","7.00","2.00","9.00","4.00","45.00","27.00","83.00","62.00","99.00","59.00","14.00","10.00","7.00","7.00","2.00","0.00","0.00","0.00","1.00","0.00","3.00","0.00","0.00","0.00","270.00","171.00"
"11","Presidente Prudente","350890 Caiabu","31.00","11.00","64.00","45.00","33.00","21.00","6.00","1.00","0.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","139.00","78.00"
