DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados
17,Taubaté,352630 Lagoinha,0,0,1,0,1,0,12,10,8,7,3,1,0,0,0,0,0,0,0,1,0,1,0,27,18
6,Bauru,352640 Laranjal Paulista,6,0,0,0,3,3,13,7,39,23,12,8,6,4,0,8,4,2,1,7,5,32,17,128,72
2,Araçatuba,352650 Lavínia,2,0,1,0,18,4,51,28,87,46,28,8,19,10,7,6,4,16,1,7,0,11,2,261,110
17,Taubaté,352660 Lavrinhas,1,0,0,0,0,0,0,0,4,2,0,0,2,1,0,2,0,7,0,8,0,1,1,25,4
10,Piracicaba,352670 Leme,15,1,10,1,18,2,42,19,83,41,40,10,19,3,4,8,1,14,1,9,1,9,2,281,86
6,Bauru,352680 Lençóis Paulista,4,0,2,0,20,8,90,38,164,66,70,8,60,6,2,14,0,7,0,21,1,18,1,498,130
10,Piracicaba,352690 Limeira,148,1,82,10,287,78,898,259,912,184,561,48,237,12,6,180,3,177,4,175,3,129,3,"4,007",611
7,Campinas,352700 Lindóia,1,0,3,3,31,20,129,62,154,47,54,10,27,2,0,9,0,5,0,7,0,9,0,440,144
6,Bauru,352710 Lins,58,33,103,69,396,316,881,660,738,451,147,67,137,30,23,60,21,44,2,52,8,104,39,"2,784","1,719"
17,Taubaté,352720 Lorena,15,1,7,2,14,2,14,4,47,7,17,1,12,2,0,11,1,13,0,17,0,8,0,184,20
2,Araçatuba,352725 Lourdes,87,40,46,22,32,8,9,5,5,2,7,3,12,5,1,5,0,14,2,16,2,12,0,261,90
