DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Notificados,Agosto Confirmados,Setembro Notificados,Setembro Confirmados,Outubro Notificados,Outubro Confirmados,Novembro Notificados,Novembro Confirmados,Dezembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
2.0,Araçatuba,54.00,22,76,27,360,125,236,100,166,55,60,25,31,10,13,3,12,6,21,10,11,0,12,0,1052,383,351100,Castilho
15.0,São José do Rio Preto,181.00,40,252,96,534,167,599,309,449,246,205,99,120,50,99,20,110,25,161,30,188,77,199,88,3097,1247,351110,Catanduva
15.0,São José do Rio Preto,1.00,1,15,5,14,6,17,5,8,3,8,3,2,0,8,1,2,0,7,1,4,1,5,1,91,27,351120,Catiguá
15.0,São José do Rio Preto,41.00,9,39,8,75,16,60,19,46,11,20,7,11,1,11,1,16,1,30,7,27,7,38,3,414,90,351130,Cedral
6.0,Bauru,0.00,0,9,9,72,45,212,200,70,69,5,5,0,0,0,0,0,0,0,0,1,0,0,0,369,328,351140,Cerqueira César
16.0,Sorocaba,16.00,2,14,0,80,11,120,27,79,11,18,3,4,0,10,2,8,1,12,0,12,1,8,0,381,58,351150,Cerquilho
16.0,Sorocaba,14.00,0,29,4,65,12,38,9,46,8,7,0,8,0,1,0,14,0,10,0,10,0,6,0,248,33,351160,Cesário Lange
10.0,Piracicaba,19.00,0,39,6,150,40,147,31,128,19,57,7,24,0,23,0,26,0,29,0,27,1,14,0,683,104,351170,Charqueada
2.0,Araçatuba,0.00,0,2,0,2,1,4,2,3,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,14,6,351190,Clementina
5.0,Barretos,16.00,1,33,4,91,18,106,38,50,27,9,6,9,1,19,5,8,1,14,1,13,1,40,28,408,131,351200,Colina
5.0,Barretos,7.00,0,9,3,66,36,137,107,145,141,50,49,2,1,2,2,3,1,3,0,3,0,0,0,427,340,351210,Colômbia
10.0,Piracicaba,2.00,0,12,2,49,8,99,26,70,10,19,0,5,0,10,0,21,3,25,0,18,0,4,0,334,49,351220,Conchal
6.0,Bauru,6.00,4,122,34,392,150,390,237,375,153,52,22,17,0,8,0,10,0,21,0,16,1,9,1,1418,602,351230,Conchas
10.0,Piracicaba,30.00,0,27,1,94,8,127,6,94,7,30,2,11,0,16,0,17,0,17,1,24,0,9,1,496,26,351240,Cordeirópolis
2.0,Araçatuba,52.00,2,32,2,76,12,97,11,58,10,22,2,13,0,12,0,13,1,25,0,14,1,7,0,421,41,351250,Coroados
6.0,Bauru,0.00,0,0,0,13,2,21,7,33,14,4,0,0,0,1,0,0,0,0,0,0,0,2,1,74,24,351260,Coronel Macedo
10.0,Piracicaba,5.00,0,4,3,11,8,6,4,8,5,3,1,1,0,1,0,2,0,0,0,2,0,1,0,44,21,351270,Corumbataí
7.0,Campinas,16.00,0,25,7,68,7,109,10,95,22,19,3,7,2,6,1,7,0,8,0,13,0,5,2,378,54,351280,Cosmópolis
15.0,São José do Rio Preto,26.00,3,29,7,32,7,24,3,16,2,3,0,1,0,3,0,5,1,3,0,1,0,1,0,144,23,351290,Cosmorama
1.0,São Paulo,62.00,10,122,3,143,15,113,34,90,22,41,8,35,4,27,1,19,0,35,0,36,3,31,4,754,104,351300,Cotia
13.0,Riberão Preto,27.00,2,28,3,194,37,382,90,349,62,60,14,14,3,22,2,14,0,15,8,21,7,43,19,1169,247,351310,Cravinhos
8.0,Franca,5.00,1,1,0,8,0,16,5,17,11,3,1,2,0,2,0,2,0,2,0,3,0,8,0,69,18,351320,Cristais Paulista
9.0,Marília,6.00,3,18,12,85,77,63,61,8,7,2,2,0,0,2,1,1,1,1,1,0,0,2,1,188,166,351330,Cruzália
17.0,Taubaté,10.00,0,17,1,73,1,35,1,15,0,10,0,1,1,5,1,6,1,7,1,13,2,7,0,199,9,351340,Cruzeiro
4.0,Baixada Santista,81.00,1,110,6,132,5,113,10,90,15,39,6,28,7,23,5,37,2,38,2,41,1,35,1,767,61,351350,Cubatão
17.0,Taubaté,0.00,0,4,1,30,6,52,17,37,6,3,0,2,0,3,0,6,0,1,0,2,0,2,0,142,30,351360,Cunha
3.0,Araraquara,11.00,0,17,0,28,3,31,4,25,9,20,7,13,4,19,3,16,1,18,7,19,4,11,0,228,42,351370,Descalvado
1.0,São Paulo,44.00,9,58,8,143,39,159,71,118,54,68,19,52,6,30,3,31,2,33,6,23,6,41,10,800,233,351380,Diadema
15.0,São José do Rio Preto,0.00,0,0,0,9,5,24,20,14,8,2,0,0,0,1,0,1,0,0,0,0,0,2,2,53,35,351385,Dirce Reis
14.0,São João da Boa Vista,0.00,0,1,0,2,0,2,0,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,12,1,351390,Divinolândia
3.0,Araraquara,16.00,1,25,5,121,31,266,116,327,94,52,24,23,11,8,1,2,0,10,1,10,3,4,0,864,287,351400,Dobrada
6.0,Bauru,11.00,1,13,2,42,18,91,53,84,56,26,15,10,5,18,13,9,7,11,4,24,21,107,82,446,277,351410,Dois Córregos
15.0,São José do Rio Preto,2.00,0,22,11,50,13,56,13,20,6,4,1,0,0,3,1,2,0,1,1,1,0,1,0,162,46,351420,Dolcinópolis
3.0,Araraquara,14.00,2,28,7,132,79,261,200,151,104,36,14,13,11,17,10,7,3,8,7,4,1,2,1,673,439,351430,Dourado
11.0,Presidente Prudente,222.00,133,823,710,1522,1258,1143,802,472,162,46,10,24,8,31,6,43,10,80,10,49,1,22,0,4477,3110,351440,Dracena
6.0,Bauru,2.00,0,1,0,4,3,12,4,8,3,0,0,3,0,1,1,1,0,2,0,0,0,0,0,34,11,351450,Duartina
13.0,Riberão Preto,18.00,3,59,18,147,82,116,75,32,17,6,1,5,0,3,1,9,3,4,0,12,0,11,1,422,201,351460,Dumont
9.0,Marília,118.00,88,159,118,364,347,38,38,1,1,3,0,1,0,1,0,0,0,0,0,1,0,4,1,690,593,351470,Echaporã
12.0,Registro,2.00,1,3,0,5,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,351480,Eldorado
10.0,Piracicaba,7.00,0,1,0,13,3,26,0,14,0,5,0,2,0,2,0,1,0,2,0,4,0,5,0,82,3,351490,Elias Fausto
15.0,São José do Rio Preto,1.00,0,0,0,25,1,10,0,4,1,1,0,0,0,1,0,2,0,1,0,1,0,1,0,47,2,351492,Elisiário
15.0,São José do Rio Preto,15.00,9,24,19,21,8,24,12,4,4,3,2,0,0,0,0,1,0,1,0,1,0,0,0,94,54,351495,Embaúba
1.0,São Paulo,42.00,1,34,1,96,13,144,9,95,6,55,3,22,1,22,1,36,0,25,1,30,1,29,0,630,37,351500,Embu
1.0,São Paulo,7.00,0,8,0,5,3,8,2,4,1,8,1,1,0,1,0,2,0,3,0,3,0,3,0,53,7,351510,Embu-Guaçu
