DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
15.0,SÃO JOSÉ DO RIO PRETO,46.00,19,14,3,11,1,71,23,351980,Icém
11.0,PRESIDENTE PRUDENTE,13.00,3,84,1,17,0,114,4,351990,Iepê
6.0,BAURU,30.00,2,114,27,294,111,438,140,352000,Igaraçu do Tietê
8.0,FRANCA,17.00,1,162,27,30,4,209,32,352010,Igarapava
17.0,TAUBATÉ,9.00,0,90,32,169,117,268,149,352020,Igaratá
12.0,REGISTRO,173.00,73,936,292,1677,765,2786,1130,352030,Iguape
17.0,TAUBATÉ,316.00,75,1306,343,955,702,2577,1120,352040,Ilhabela
12.0,REGISTRO,40.00,23,163,82,293,201,496,306,352042,Ilha Comprida
2.0,ARAÇATUBA,16.00,2,36,6,42,5,94,13,352044,Ilha Solteira
7.0,CAMPINAS,262.00,77,1294,439,1757,866,3313,1382,352050,Indaiatuba
11.0,PRESIDENTE PRUDENTE,11.00,0,35,6,15,5,61,11,352060,Indiana
15.0,SÃO JOSÉ DO RIO PRETO,1.00,0,15,2,18,3,34,5,352070,Indiaporã
9.0,MARÍLIA,5.00,0,23,0,15,0,43,0,352080,Inúbia Paulista
9.0,MARÍLIA,10.00,2,41,7,52,22,103,31,352090,Ipaussu
16.0,SOROCABA,63.00,3,218,15,335,53,616,71,352100,Iperó
10.0,PIRACICABA,10.00,0,88,25,169,62,267,87,352110,Ipeúna
15.0,SÃO JOSÉ DO RIO PRETO,32.00,4,52,5,29,1,113,10,352115,Ipiguá
12.0,REGISTRO,2.00,1,8,4,78,48,88,53,352120,Iporanga
8.0,FRANCA,14.00,0,27,3,73,5,114,8,352130,Ipuã
10.0,PIRACICABA,61.00,25,193,80,423,243,677,348,352140,Iracemápolis
15.0,SÃO JOSÉ DO RIO PRETO,58.00,17,42,2,41,3,141,22,352150,Irapuã
11.0,PRESIDENTE PRUDENTE,16.00,7,34,9,30,5,80,21,352160,Irapuru
16.0,SOROCABA,1.00,0,16,1,87,36,104,37,352170,Itaberá
6.0,BAURU,13.00,2,56,7,292,72,361,81,352180,Itaí
15.0,SÃO JOSÉ DO RIO PRETO,33.00,7,140,17,232,57,405,81,352190,Itajobi
6.0,BAURU,36.00,31,113,49,202,143,351,223,352200,Itaju
4.0,BAIXADA SANTISTA,80.00,37,413,163,1265,343,1758,543,352210,Itanhaém
16.0,SOROCABA,0.00,0,0,0,5,1,5,1,352215,Itaóca
1.0,GRANDE SÃO PAULO,55.00,14,550,82,1265,305,1870,401,352220,Itapecerica da Serra
16.0,SOROCABA,676.00,153,1808,421,1934,1136,4418,1710,352230,Itapetininga
16.0,SOROCABA,30.00,2,233,52,931,267,1194,321,352240,Itapeva
1.0,GRANDE SÃO PAULO,44.00,3,299,42,417,85,760,130,352250,Itapevi
14.0,SÃO JOÃO DA BOA VISTA,121.00,29,803,566,1146,1107,2070,1702,352260,Itapira
16.0,SOROCABA,0.00,0,0,0,1,0,1,0,352265,Itapirapuã Paulista
3.0,ARARAQUARA,59.00,14,125,16,145,24,329,54,352270,Itápolis
6.0,BAURU,7.00,1,34,4,68,20,109,25,352280,Itaporanga
6.0,BAURU,19.00,0,118,8,298,74,435,82,352290,Itapuí
2.0,ARAÇATUBA,2.00,0,20,3,10,4,32,7,352300,Itapura
1.0,GRANDE SÃO PAULO,433.00,204,1764,596,1588,372,3785,1172,352310,Itaquaquecetuba
16.0,SOROCABA,5.00,3,43,31,172,120,220,154,352320,Itararé
12.0,REGISTRO,3.00,1,18,0,7,0,28,1,352330,Itariri
7.0,CAMPINAS,444.00,261,1175,616,1575,835,3194,1712,352340,Itatiba
6.0,BAURU,8.00,2,48,9,102,20,158,31,352350,Itatinga
10.0,PIRACICABA,15.00,0,70,23,190,136,275,159,352360,Itirapina
8.0,FRANCA,10.00,5,59,27,125,52,194,84,352370,Itirapuã
14.0,SÃO JOÃO DA BOA VISTA,9.00,1,21,12,145,55,175,68,352380,Itobi
16.0,SOROCABA,"1,677.00",858,4394,1902,7058,3609,13129,6369,352390,Itu
7.0,CAMPINAS,13.00,10,51,38,117,92,181,140,352400,Itupeva
8.0,FRANCA,44.00,3,53,7,40,3,137,13,352410,Ituverava
5.0,BARRETOS,10.00,6,60,26,58,30,128,62,352420,Jaborandi
13.0,RIBEIRÃO PRETO,89.00,37,499,233,399,254,987,524,352430,Jaboticabal
17.0,TAUBATÉ,"4,902.00",2803,11295,6258,14510,7523,30707,16584,352440,Jacareí
15.0,SÃO JOSÉ DO RIO PRETO,8.00,3,36,4,39,4,83,11,352450,Jaci
12.0,REGISTRO,0.00,0,71,10,131,11,202,21,352460,Jacupiranga
7.0,CAMPINAS,345.00,102,1041,744,2405,1779,3791,2625,352470,Jaguariúna
