DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19
14.00,SÃO JOÃO DA BOA VISTA,354810 Santo Antônio do Jardim,17.00,11.00,103.00,56.00,154.00,119.00,274.00,186.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354820 Santo Antônio do Pinhal,6.00,0.00,30.00,1.00,47.00,3.00,83.00,4.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354830 Santo Expedito,0.00,0.00,12.00,2.00,11.00,0.00,23.00,2.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,354840 Santópolis do Aguapeí,7.00,0.00,23.00,1.00,28.00,2.00,58.00,3.00,,,,,,,,,,,,,,,,,,,
4.00,BAIXADA SANTISTA,354850 Santos,397.00,239.00,"1,127.00",586.00,"1,145.00",423.00,"2,669.00","1,248.00",,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354860 São Bento do Sapucaí,1.00,0.00,68.00,20.00,172.00,106.00,241.00,126.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354870 São Bernardo do Campo,461.00,69.00,"1,870.00",369.00,"1,245.00",665.00,"3,576.00","1,103.00",,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354880 São Caetano do Sul,127.00,54.00,915.00,557.00,"1,825.00","1,230.00","2,867.00","1,841.00",,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,354890 São Carlos,440.00,61.00,"1,213.00",447.00,"2,319.00",548.00,"3,972.00","1,056.00",,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354900 São Francisco,6.00,1.00,30.00,0.00,44.00,3.00,80.00,4.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,354910 São João da Boa Vista,253.00,133.00,"1,339.00",888.00,"1,178.00","1,074.00","2,770.00","2,095.00",,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354920 São João das Duas Pontes,3.00,0.00,9.00,0.00,8.00,0.00,20.00,0.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354925 São João de Iracema,2.00,0.00,8.00,0.00,3.00,0.00,13.00,0.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354930 São João do Pau d'Alho,8.00,4.00,9.00,4.00,40.00,13.00,57.00,21.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,354940 São Joaquim da Barra,208.00,15.00,426.00,39.00,333.00,66.00,967.00,120.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,354950 São José da Bela Vista,31.00,17.00,17.00,9.00,5.00,1.00,53.00,27.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354960 São José do Barreiro,6.00,1.00,54.00,27.00,92.00,49.00,152.00,77.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,354970 São José do Rio Pardo,103.00,34.00,981.00,236.00,"2,336.00",261.00,"3,420.00",531.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354980 São José do Rio Preto,"2,024.00","1,080.00","4,673.00","2,512.00","4,256.00",763.00,"10,953.00","4,355.00",,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354990 São José dos Campos,"4,092.00",824.00,"14,322.00","4,873.00","34,833.00","17,216.00","53,247.00","22,913.00",,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354995 São Lourenço da Serra,6.00,3.00,46.00,10.00,51.00,10.00,103.00,23.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,355000 São Luiz do Paraitinga,17.00,0.00,41.00,8.00,105.00,15.00,163.00,23.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,355010 São Manuel,491.00,343.00,"1,125.00",688.00,"1,549.00","1,087.00","3,165.00","2,118.00",,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,355020 São Miguel Arcanjo,6.00,3.00,77.00,5.00,199.00,40.00,282.00,48.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,355030 São Paulo,"23,693.00","8,061.00","112,842.00","36,699.00","208,038.00","107,805.00","344,573.00","152,565.00",,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,355040 São Pedro,38.00,6.00,203.00,65.00,264.00,104.00,505.00,175.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,355050 São Pedro do Turvo,15.00,0.00,51.00,3.00,122.00,28.00,188.00,31.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,355060 São Roque,32.00,0.00,310.00,33.00,647.00,77.00,989.00,110.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,355070 São Sebastião,429.00,88.00,"1,592.00",414.00,"2,715.00","1,145.00","4,736.00","1,647.00",,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,355080 São Sebastião da Grama,3.00,0.00,60.00,4.00,276.00,97.00,339.00,101.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,355090 São Simão,21.00,0.00,87.00,7.00,83.00,14.00,191.00,21.00,,,,,,,,,,,,,,,,,,,
4.00,BAIXADA SANTISTA,355100 São Vicente,132.00,46.00,506.00,172.00,533.00,181.00,"1,171.00",399.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,355110 Sarapuí,12.00,1.00,107.00,3.00,132.00,20.00,251.00,24.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,355120 Sarutaiá,14.00,6.00,68.00,17.00,115.00,53.00,197.00,76.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,355130 Sebastianópolis do Sul,18.00,0.00,9.00,1.00,18.00,1.00,45.00,2.00,,,,,,,,,,,,,,,,,,,
