DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
15,São José do Rio Preto,4,2,34,19,175,146,147,146,50,49,7,7,1,1,5,2,0,1,1,1,0,0,0,433,376,350260,Aparecida d'Oeste
16,Sorocaba,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,11,3,350270,Apiaí
16,Sorocaba,2,0,2,0,2,0,6,0,4,1,7,0,2,0,0,2,0,1,0,1,0,2,0,32,1,350275,Araçariguama
2,Araçatuba,557,66,519,142,2238,743,3565,1074,3109,419,1468,172,1008,63,32,519,26,679,36,675,19,682,19,15754,2811,350280,Araçatuba
16,Sorocaba,8,0,12,0,14,6,30,1,35,4,20,1,11,0,0,11,0,11,1,5,0,19,1,186,14,350290,Araçoiaba da Serra
8,Franca,0,0,1,0,4,3,8,5,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,17,9,350300,Aramina
6,Bauru,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,13,0,350310,Arandu
17,Taubaté,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350315,Arapeí
3,Araraquara,214,151,814,731,6969,5286,10179,7987,6331,4897,1689,1227,487,321,85,226,65,336,26,242,18,211,10,27903,20804,350320,Araraquara
10,Piracicaba,60,35,230,177,1029,741,1569,1163,1012,687,169,88,54,13,7,21,3,34,1,37,2,44,0,4290,2917,350330,Araras
9,Marília,1,0,4,1,12,7,26,19,48,27,20,13,11,8,3,9,9,2,2,9,7,10,8,159,104,350335,Arco-Íris
6,Bauru,0,0,0,0,2,0,7,3,17,10,9,5,13,11,7,6,3,0,0,4,1,0,0,66,40,350340,Arealva
17,Taubaté,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,3,0,3,0,0,0,14,0,350350,Areias
6,Bauru,2,0,1,0,3,2,6,4,17,4,7,2,7,0,2,0,0,1,0,1,0,0,0,50,14,350360,Areiópolis
15,São José do Rio Preto,11,2,6,3,19,9,57,23,44,19,16,7,7,2,0,6,0,3,0,7,0,14,1,193,66,350370,Ariranha
7,Campinas,12,0,26,15,86,36,205,87,140,71,83,42,30,7,5,14,0,18,1,7,1,8,0,646,265,350380,Artur Nogueira
1,São Paulo,2,0,7,3,13,4,69,38,90,35,30,5,4,0,0,3,0,5,0,9,0,2,0,237,85,350390,Arujá
15,São José do Rio Preto,11,4,33,19,74,36,85,77,56,51,7,6,4,2,0,0,0,4,0,2,0,1,0,277,195,350395,Aspásia
9,Marília,48,13,28,8,69,41,165,120,233,146,78,42,60,27,23,28,11,29,9,31,9,64,14,880,463,350400,Assis
7,Campinas,11,5,10,4,34,24,374,278,496,340,208,167,117,93,60,66,49,56,39,47,30,55,26,1558,1115,350410,Atibaia
2,Araçatuba,12,2,23,7,115,65,240,185,42,19,2,1,4,4,0,3,0,0,0,3,1,2,0,447,284,350420,Auriflama
